Id,board,a_star_search
1,...........;.+-C-----+.;.|.|...|.|.;.|.+-^-d-+.;.|.....|.|.;.c---D-+-+.;...........;,rdllluur
2,.......;.P-C-+.;.|.|.|.;.|.^.c.;.|.|.|.;.D-d-p.;.......;,druulldd
3,.........;.T---p-P.;.|...|.|.;.c.t-^-+.;.|.|.|.|.;.d.C-D-+.;.........;,lrurllldduurrddl
4,.............;.--+.+-+.+-+.;...|.|.|.|.|.;.+-+-d.+-+-p.;.|.|.|...|.|.;.c.+-^-+-P-C.;.|.|...|.|.|.;.+-+---+-D-+.;.............;,ullddrrrrruudl
5,...........;.s-D-t.b-C.;.|.|.|.|.|.;.w.W.^-c-T.;.|.|.|.|.|.;.d-S.B-P-p.;...........;,ullddruurdrurddll
6,.............;.+---S.+-+.|.;.|...|.|.|.|.;.+-D.s-^.d-+.;.|.|.|.|...|.;.+-+-P-W-+.c.;.|.|.|.|.|.|.;.p-T-t-C-+-w.;.............;,urdrddlllllruudrrluu
7,.............;.c-d-p-T-w-B.;.|...|.|.|.|.;.S-m-^.D.M-W.;.|.....|.|.|.;.P-C-s-t-+-b.;.............;,llurrrddlllurrurrdrduu
8,.............;.P---c-B-d-m.;.|.....|...|.;.M-D-S-T.+-p.;.|...|.|.|.|.;.s---b-^-W-t.;.|.....|.|.|.;.+---w---C-+.;.............;,lrrruulllllddurrrddlrru
9,.............;.d-b---+-s-C.;.|.|...|.|.|.;.m.+-P.t.+-+.;.|.|.|...|.|.;.W-p.^.+-+-T.;.|.|.|.|.|.|.;.B-w-S-D-c-M.;.............;,dluurlurrdurlllldddrrrrruuu
10,.............;.M-+.B-+-S-m.;.|.|.|.|.|.|.;.+-W.l-t-P.C.;.|...|.|.|.|.;.L-p-^-d.u-c.;.|.|...|.|.|.;.D-U-w-b.T-s.;.............;,ldrruurddruuulllddldluurlu
11,.............;.s.W-C-R-D-u.;.|.|...|...|.;.P-L.^-M-B.w.;.|.|.|.|.|.|.;.l-S-m.r-c-U.;.|.|.|.|...|.;.+-T-b-d-t-p.;.............;,ddrurulurrdddllllluuudrduur
12,.............;.L.T-B.d-r-P.;.|.|.|...|.|.;.b-p-m-l-S.c.;.|.....|.|.|.;.w-t-M-^.+-U.;.|.|.|.|.|.|.;.W-s-D-C-R-u.;.............;,llldrluururdrrulrrdddudlllulluu
13,.............;.b.r-w-s-m-L.;.|.|.|.|.|...;.U-W.^-P-C-d.;...|.|.|.|.|.;.D-c-l-R.p.M.;.|.|...|.|.|.;.t-S-T-u-B-+.;.............;,ulrrrdrddllulluludrdldrrrruulrur
